,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,state
82,82,0.9571999999999999,2022-12-03 13:18:44.997875,2022-12-03 13:18:51.089497,0 days 00:00:06.091622,1837312.8730324279,1.9410554623497254e-06,COMPLETE
83,83,0.9564,2022-12-03 13:18:51.089497,2022-12-03 13:18:56.063371,0 days 00:00:04.973874,2088936.2544464786,1.6066033121591085e-06,COMPLETE
84,84,0.9570000000000001,2022-12-03 13:18:56.063371,2022-12-03 13:19:01.812555,0 days 00:00:05.749184,2100929.532093644,2.013576440715746e-06,COMPLETE
85,85,0.9558,2022-12-03 13:19:01.812555,2022-12-03 13:19:06.093666,0 days 00:00:04.281111,3459953.4586610524,1.3937590418470246e-06,COMPLETE
86,86,0.9558,2022-12-03 13:19:06.093666,2022-12-03 13:19:13.673848,0 days 00:00:07.580182,815826.7881227714,2.632345602594427e-06,COMPLETE
87,87,0.9532,2022-12-03 13:19:13.673848,2022-12-03 13:19:22.688004,0 days 00:00:09.014156,1688498.4637191114,3.1581379477325874e-06,COMPLETE
88,88,0.9349999999999999,2022-12-03 13:19:22.688004,2022-12-03 13:19:25.034574,0 days 00:00:02.346570,1169566.7314189856,2.1006641699591211e-07,COMPLETE
89,89,0.9416,2022-12-03 13:19:25.034574,2022-12-03 13:19:35.287467,0 days 00:00:10.252893,2783429.4387121503,3.8021904089341716e-06,COMPLETE
90,90,0.9571999999999999,2022-12-03 13:19:35.292015,2022-12-03 13:19:41.964319,0 days 00:00:06.672304,1812850.2843213421,2.2813870771479884e-06,COMPLETE
91,91,0.9568,2022-12-03 13:19:41.964319,2022-12-03 13:19:48.636215,0 days 00:00:06.671896,1661591.4683812754,2.2239194239621738e-06,COMPLETE
92,92,0.9571999999999999,2022-12-03 13:19:48.636215,2022-12-03 13:19:54.567046,0 days 00:00:05.930831,2514963.2067085993,1.886078507020368e-06,COMPLETE
93,93,0.9564,2022-12-03 13:19:54.567046,2022-12-03 13:20:00.033485,0 days 00:00:05.466439,3061796.25479928,1.7748057295342909e-06,COMPLETE
94,94,0.9558,2022-12-03 13:20:00.033485,2022-12-03 13:20:07.523263,0 days 00:00:07.489778,2296221.2995534465,2.587660197700239e-06,COMPLETE
95,95,0.9558,2022-12-03 13:20:07.523263,2022-12-03 13:20:11.756798,0 days 00:00:04.233535,1483937.7690824687,1.2903961779062816e-06,COMPLETE
96,96,0.9565999999999999,2022-12-03 13:20:11.756798,2022-12-03 13:20:17.650583,0 days 00:00:05.893785,109838.61734970719,2.0612622309830788e-06,COMPLETE
97,97,0.9541999999999998,2022-12-03 13:20:17.650583,2022-12-03 13:20:26.346505,0 days 00:00:08.695922,131054.10799030634,2.9471705407845878e-06,COMPLETE
98,98,0.9566000000000001,2022-12-03 13:20:26.350136,2022-12-03 13:20:31.488113,0 days 00:00:05.137977,1804226.509457713,1.649827250067867e-06,COMPLETE
99,99,0.9570000000000001,2022-12-03 13:20:31.488113,2022-12-03 13:20:38.048729,0 days 00:00:06.560616,2503001.774593489,2.263438935090387e-06,COMPLETE
