,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,state
63,63,0.9325999999999999,2022-12-05 10:58:08.603065,2022-12-05 10:58:10.673597,0 days 00:00:02.070532,49394.83014606166,0.004069209210474787,COMPLETE
64,64,0.9198000000000001,2022-12-05 10:58:10.674387,2022-12-05 10:58:12.328198,0 days 00:00:01.653811,4246.907698981758,0.001141552246119612,COMPLETE
65,65,0.9286,2022-12-05 10:58:12.329000,2022-12-05 10:58:13.986452,0 days 00:00:01.657452,16418.40353139043,0.0021882347441479605,COMPLETE
66,66,0.8785999999999999,2022-12-05 10:58:13.987264,2022-12-05 10:58:19.247442,0 days 00:00:05.260178,56625.585753657535,0.021296968037958268,COMPLETE
67,67,0.9266,2022-12-05 10:58:19.248157,2022-12-05 10:58:21.972896,0 days 00:00:02.724739,213.1272755031277,0.007996696574413781,COMPLETE
68,68,0.6262,2022-12-05 10:58:21.973818,2022-12-05 10:58:29.551958,0 days 00:00:07.578140,454.80835621122316,0.0723007258237001,COMPLETE
69,69,0.9228,2022-12-05 10:58:29.552787,2022-12-05 10:58:31.365852,0 days 00:00:01.813065,7.671457327830196,0.0006566980930396601,COMPLETE
70,70,0.9218,2022-12-05 10:58:31.366662,2022-12-05 10:58:32.883938,0 days 00:00:01.517276,48.622656610368956,0.0002013941362473434,COMPLETE
71,71,0.9321999999999999,2022-12-05 10:58:32.884385,2022-12-05 10:58:35.000963,0 days 00:00:02.116578,12571.304391584914,0.004686440805069553,COMPLETE
72,72,0.9301999999999999,2022-12-05 10:58:35.001560,2022-12-05 10:58:36.741905,0 days 00:00:01.740345,13333.812385079513,0.002980428618324097,COMPLETE
73,73,0.9156000000000001,2022-12-05 10:58:36.742605,2022-12-05 10:58:40.306752,0 days 00:00:03.564147,2259.3300492127837,0.012318201755011955,COMPLETE
74,74,0.9324,2022-12-05 10:58:40.307570,2022-12-05 10:58:42.656714,0 days 00:00:02.349144,7721.297067784571,0.006030781454513958,COMPLETE
75,75,0.16040000000000001,2022-12-05 10:58:42.657618,2022-12-05 10:58:50.995905,0 days 00:00:08.338287,49481.744682072276,1.0139097390518032e-10,COMPLETE
76,76,0.8024000000000001,2022-12-05 10:58:50.996734,2022-12-05 10:58:57.682537,0 days 00:00:06.685803,3421.870025874813,0.035365207807696995,COMPLETE
77,77,0.9278000000000001,2022-12-05 10:58:57.683128,2022-12-05 10:58:59.294552,0 days 00:00:01.611424,9293.858826070855,0.0019026201494640636,COMPLETE
78,78,0.406,2022-12-05 10:58:59.295357,2022-12-05 10:59:07.648942,0 days 00:00:08.353585,674.6152048094139,2.1634195694698833e-08,COMPLETE
79,79,0.9018,2022-12-05 10:59:07.649761,2022-12-05 10:59:08.944096,0 days 00:00:01.294335,99138.97139075366,4.789191834634829e-05,COMPLETE
80,80,0.9278000000000001,2022-12-05 10:59:08.944837,2022-12-05 10:59:11.534139,0 days 00:00:02.589302,5989.74002987983,0.007505381351766941,COMPLETE
81,81,0.9318,2022-12-05 10:59:11.535112,2022-12-05 10:59:13.585009,0 days 00:00:02.049897,28563.66051560597,0.004393750365589028,COMPLETE
82,82,0.9016,2022-12-05 10:59:13.585793,2022-12-05 10:59:17.810195,0 days 00:00:04.224402,21827.192644074286,0.016583005395803034,COMPLETE
83,83,0.9326000000000001,2022-12-05 10:59:17.811096,2022-12-05 10:59:20.177484,0 days 00:00:02.366388,40140.852600255224,0.005667482453745729,COMPLETE
84,84,0.8603999999999999,2022-12-05 10:59:20.178278,2022-12-05 10:59:25.963115,0 days 00:00:05.784837,1241.7697738871973,0.024390155813026504,COMPLETE
85,85,0.9252,2022-12-05 10:59:25.963939,2022-12-05 10:59:27.432630,0 days 00:00:01.468691,68.62701335567483,0.0014078093287508777,COMPLETE
86,86,0.708,2022-12-05 10:59:27.433456,2022-12-05 10:59:35.017540,0 days 00:00:07.584084,63533.66567585676,0.0529322068763904,COMPLETE
87,87,0.9298,2022-12-05 10:59:35.018358,2022-12-05 10:59:36.740725,0 days 00:00:01.722367,36.96125523389947,0.002527141345392665,COMPLETE
88,88,0.922,2022-12-05 10:59:36.741524,2022-12-05 10:59:39.707238,0 days 00:00:02.965714,197.42975407020427,0.009427608116606444,COMPLETE
89,89,0.9086000000000001,2022-12-05 10:59:39.708052,2022-12-05 10:59:41.051375,0 days 00:00:01.343323,2925.3667424488035,0.0003765731298306029,COMPLETE
90,90,0.9129999999999999,2022-12-05 10:59:41.052061,2022-12-05 10:59:42.392922,0 days 00:00:01.340861,338.98606875768553,0.0006207163977271197,COMPLETE
91,91,0.9314,2022-12-05 10:59:42.394059,2022-12-05 10:59:44.836440,0 days 00:00:02.442381,39247.97089815707,0.006261074834603256,COMPLETE
92,92,0.931,2022-12-05 10:59:44.837340,2022-12-05 10:59:46.700428,0 days 00:00:01.863088,39599.9253261604,0.003390344066880579,COMPLETE
93,93,0.915,2022-12-05 10:59:46.701215,2022-12-05 10:59:50.529670,0 days 00:00:03.828455,23411.09315782115,0.012984686318458189,COMPLETE
94,94,0.9238,2022-12-05 10:59:50.530081,2022-12-05 10:59:52.028648,0 days 00:00:01.498567,9560.83340901556,0.0013464041833704343,COMPLETE
95,95,0.9321999999999999,2022-12-05 10:59:52.029761,2022-12-05 10:59:54.596856,0 days 00:00:02.567095,742.8886782801335,0.006035639168282324,COMPLETE
96,96,0.09,2022-12-05 10:59:54.597507,2022-12-05 11:00:03.681573,0 days 00:00:09.084066,626.8940582884434,3.3657037542852026e-09,COMPLETE
97,97,0.5466,2022-12-05 11:00:03.682379,2022-12-05 11:00:11.505457,0 days 00:00:07.823078,949.9185947637618,0.10219125049665836,COMPLETE
98,98,0.7964,2022-12-05 11:00:11.506277,2022-12-05 11:00:19.148864,0 days 00:00:07.642587,19.58902728000153,0.036581779842335065,COMPLETE
99,99,0.21259999999999998,2022-12-05 11:00:19.149637,2022-12-05 11:00:27.699659,0 days 00:00:08.550022,161.1537456093292,0.24180332801215107,COMPLETE
