,number,value,datetime_start,datetime_complete,duration,params_C,state
52,52,0.8872,2022-12-03 12:48:30.523639,2022-12-03 12:48:36.059226,0 days 00:00:05.535587,0.0010519338894250502,COMPLETE
53,53,0.897,2022-12-03 12:48:36.059226,2022-12-03 12:48:48.013143,0 days 00:00:11.953917,0.0026320823382532223,COMPLETE
54,54,0.8942,2022-12-03 12:48:48.013143,2022-12-03 12:49:12.597973,0 days 00:00:24.584830,0.008755109717679793,COMPLETE
55,55,0.8747999999999999,2022-12-03 12:49:12.597973,2022-12-03 12:50:04.839399,0 days 00:00:52.241426,1992.8074073883404,COMPLETE
56,56,0.8958,2022-12-03 12:50:04.839399,2022-12-03 12:50:15.029170,0 days 00:00:10.189771,0.002048070012084599,COMPLETE
57,57,0.8966,2022-12-03 12:50:15.029170,2022-12-03 12:50:32.328166,0 days 00:00:17.298996,0.0050124921568713825,COMPLETE
58,58,0.885,2022-12-03 12:50:32.328166,2022-12-03 12:51:15.835352,0 days 00:00:43.507186,0.02108409993681633,COMPLETE
59,59,0.8747999999999999,2022-12-03 12:51:15.835352,2022-12-03 12:52:05.759351,0 days 00:00:49.923999,25.688300805203674,COMPLETE
60,60,0.8948,2022-12-03 12:52:05.759351,2022-12-03 12:52:15.034854,0 days 00:00:09.275503,0.001828491841134499,COMPLETE
61,61,0.8981999999999999,2022-12-03 12:52:15.034854,2022-12-03 12:52:29.982345,0 days 00:00:14.947491,0.0033857578281823986,COMPLETE
62,62,0.8969999999999999,2022-12-03 12:52:29.982345,2022-12-03 12:52:45.899384,0 days 00:00:15.917039,0.004002275806131487,COMPLETE
63,63,0.8942,2022-12-03 12:52:45.899384,2022-12-03 12:53:11.291686,0 days 00:00:25.392302,0.008702063022654085,COMPLETE
64,64,0.8948,2022-12-03 12:53:11.291686,2022-12-03 12:53:20.455171,0 days 00:00:09.163485,0.0018277866926119971,COMPLETE
65,65,0.8872,2022-12-03 12:53:20.455171,2022-12-03 12:53:26.151899,0 days 00:00:05.696728,0.0010481022120343358,COMPLETE
66,66,0.8949999999999999,2022-12-03 12:53:26.151899,2022-12-03 12:53:44.144594,0 days 00:00:17.992695,0.006107226612813673,COMPLETE
67,67,0.8981999999999999,2022-12-03 12:53:44.144594,2022-12-03 12:53:58.408378,0 days 00:00:14.263784,0.003162907500161863,COMPLETE
68,68,0.89,2022-12-03 12:53:58.408378,2022-12-03 12:54:35.398578,0 days 00:00:36.990200,0.012091144656765843,COMPLETE
69,69,0.8952,2022-12-03 12:54:35.398578,2022-12-03 12:54:53.522054,0 days 00:00:18.123476,0.0058519130744287585,COMPLETE
70,70,0.8836,2022-12-03 12:54:53.522054,2022-12-03 12:55:37.029298,0 days 00:00:43.507244,0.026396636489506575,COMPLETE
